     ?column?     | prov_cd |  substr  | count |       sum       |      sum       |       sum       |      sum      
 imsVo73120230203 |     731 | 20230203 |  5479 | 47838314.000000 | 47836088.000000 | 2198.000000 |    28.000000
 imsVo31120230201 |     311 | 20230201 |  3219 | 46432516.000000 | 46431750.000000 |    5.000000 |   761.000000
 imsVo99120230202 |     991 | 20230202 |  2240 | 30151368.000000 | 30151334.000000 |   18.000000 |    16.000000
 imsVo79120230204 |     791 | 20230204 |  9521 | 20052568.000000 | 20046996.000000 |  352.000000 |  5220.000000
 imsVo29020230201 |     290 | 20230201 | 14385 | 30779601.000000 | 30776541.000000 |  406.000000 |  2654.000000
 imsVo20020230206 |     200 | 20230206 | 38631 | 85406543.000000 | 85405426.000000 |  693.000000 |   424.000000
 imsVo79120230210 |     791 | 20230210 |   304 |   289108.000000 |   288938.000000 |   17.000000 |   153.000000
 imsVo21020230206 |     210 | 20230206 | 10622 | 22767224.000000 | 22767013.000000 |  155.000000 |    56.000000
 imsVo45120230207 |     451 | 20230207 |  1581 | 21171689.000000 | 21171664.000000 |   16.000000 |     9.000000
 imsVo21020230203 |     210 | 20230203 | 10351 | 22009186.000000 | 22008937.000000 |  170.000000 |    79.000000
 imsVo85120230201 |     851 | 20230201 | 18126 | 37721388.000000 | 37721031.000000 |  339.000000 |    18.000000
 imsVo95120230204 |     951 | 20230204 |   519 |  4666966.000000 |  4666952.000000 |    1.000000 |    13.000000
 imsVo85120230206 |     851 | 20230206 | 18564 | 38950665.000000 | 38950296.000000 |  359.000000 |    10.000000
 imsVo20020230208 |     200 | 20230208 | 38693 | 85872931.000000 | 85871606.000000 |  791.000000 |   534.000000
 imsVo73120230208 |     731 | 20230208 |  5792 | 50843063.000000 | 50840798.000000 | 2245.000000 |    20.000000
 imsVo20020230209 |     200 | 20230209 | 39144 | 86708375.000000 | 86707180.000000 |  801.000000 |   394.000000
 imsVo10020230204 |     100 | 20230204 |  7839 | 16627746.000000 | 16627423.000000 |  212.000000 |   111.000000
 imsVo87120230207 |     871 | 20230207 |  2320 | 30809518.000000 | 30809467.000000 |   24.000000 |    27.000000
 imsVo59120230207 |     591 | 20230207 |  4268 | 36517658.000000 | 36517631.000000 |   10.000000 |    17.000000
 imsVo27020230206 |     270 | 20230206 | 18948 | 40916035.000000 | 40915618.000000 |  397.000000 |    20.000000
 imsVo79120230209 |     791 | 20230209 | 10795 | 22919107.000000 | 22913874.000000 |  240.000000 |  4993.000000
 imsVo31120230205 |     311 | 20230205 |  2761 | 39386717.000000 | 39386142.000000 |    5.000000 |   570.000000
 imsVo97120230205 |     971 | 20230205 |   603 |  3381333.000000 |  3381332.000000 |    0.000000 |     1.000000
 imsVo55120230206 |     551 | 20230206 |  2695 | 36645932.000000 | 36645905.000000 |    1.000000 |    26.000000
 imsVo35120230203 |     351 | 20230203 | 12474 | 27274605.000000 | 27273153.000000 |  250.000000 |  1202.000000
 imsVo27020230208 |     270 | 20230208 | 16981 | 36646659.000000 | 36646316.000000 |  333.000000 |    10.000000
 imsVo27020230205 |     270 | 20230205 | 14834 | 31561444.000000 | 31561126.000000 |  293.000000 |    25.000000
 imsVo27020230201 |     270 | 20230201 | 16866 | 36547334.000000 | 36547004.000000 |  318.000000 |    12.000000
 imsVo77120230203 |     771 | 20230203 | 12181 | 25446262.000000 | 25446016.000000 |  240.000000 |     6.000000
 imsVo73120230209 |     731 | 20230209 |  5713 | 50108485.000000 | 50106233.000000 | 2226.000000 |    26.000000
 imsVo89820230201 |     898 | 20230201 |  4240 |  8298898.000000 |  8298804.000000 |   84.000000 |    10.000000
 imsVo20020230205 |     200 | 20230205 | 30629 | 65992094.000000 | 65991347.000000 |  599.000000 |   148.000000
 imsVo59120230210 |     591 | 20230210 |    96 |   559023.000000 |   559022.000000 |    1.000000 |     0.000000
 imsVo47120230207 |     471 | 20230207 |  9350 | 18924742.000000 | 18923823.000000 |  160.000000 |   759.000000
 imsVo95120230201 |     951 | 20230201 |   526 |  4943085.000000 |  4943073.000000 |    4.000000 |     8.000000
 imsVo22020230210 |     220 | 20230210 |   296 |   109967.000000 |   109961.000000 |    6.000000 |     0.000000
 imsVo45120230209 |     451 | 20230209 |  1561 | 20916587.000000 | 20916553.000000 |   21.000000 |    13.000000
 imsVo10020230209 |     100 | 20230209 | 10112 | 21606926.000000 | 21606590.000000 |  228.000000 |   108.000000
 imsVo53120230210 |     531 | 20230210 |   124 |   771459.000000 |   771459.000000 |    0.000000 |     0.000000
 imsVo28020230204 |     280 | 20230204 | 31634 | 69101698.000000 | 69100893.000000 |  666.000000 |   139.000000
 imsVo79120230203 |     791 | 20230203 | 10681 | 22650007.000000 | 22644734.000000 |  304.000000 |  4969.000000
 imsVo93120230208 |     931 | 20230208 |  4720 | 16766840.000000 | 16766701.000000 |   22.000000 |   117.000000
 imsVo55120230208 |     551 | 20230208 |  2539 | 34366955.000000 | 34366865.000000 |    2.000000 |    88.000000
 imsVo93120230203 |     931 | 20230203 |  5018 | 17883889.000000 | 17883862.000000 |   23.000000 |     4.000000
 imsVo23020230201 |     230 | 20230201 |  2636 | 34291584.000000 | 34291508.000000 |   53.000000 |    23.000000
 imsVo28020230209 |     280 | 20230209 | 33471 | 73805836.000000 | 73804975.000000 |  762.000000 |    99.000000
 imsVo73120230201 |     731 | 20230201 |  5731 | 50052774.000000 | 50050503.000000 | 2241.000000 |    30.000000
 imsVo29020230204 |     290 | 20230204 | 13539 | 28798735.000000 | 28798012.000000 |  381.000000 |   342.000000
 imsVo23020230203 |     230 | 20230203 |  2669 | 34910259.000000 | 34910176.000000 |   57.000000 |    26.000000
 imsVo21020230207 |     210 | 20230207 | 10910 | 23437201.000000 | 23436931.000000 |  191.000000 |    79.000000
 imsVo35120230207 |     351 | 20230207 | 13254 | 29485425.000000 | 29484728.000000 |  282.000000 |   415.000000
 imsVo25020230206 |     250 | 20230206 | 27312 | 59601225.000000 | 59599750.000000 | 1019.000000 |   456.000000
 imsVo22020230207 |     220 | 20230207 |  6246 | 12214448.000000 | 12214223.000000 |  218.000000 |     7.000000
 imsVo93120230207 |     931 | 20230207 |  5167 | 18434122.000000 | 18434083.000000 |   33.000000 |     6.000000
 imsVo85120230203 |     851 | 20230203 | 17027 | 35518588.000000 | 35518287.000000 |  294.000000 |     7.000000
 imsVo37120230206 |     371 | 20230206 | 34806 | 74535733.000000 | 74535218.000000 |  498.000000 |    17.000000
 imsVo85120230209 |     851 | 20230209 | 17664 | 36879540.000000 | 36879197.000000 |  291.000000 |    52.000000
 imsVo53120230209 |     531 | 20230209 |  9955 | 80878054.000000 | 80878004.000000 |    3.000000 |    47.000000
 imsVo97120230204 |     971 | 20230204 |   597 |  3449216.000000 |  3449215.000000 |    0.000000 |     1.000000
